"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","r_11.y","r_22.y","y_11.y","y_22.y"
309,18.3121,13.6455,0.354465,4.31218,0,1,0.100591,0.899409
310,18.3997,13.733,0.266889,4.39975,0,1,0.0757364,0.924264
311,18.4656,13.799,0.20095,4.46569,0,1,0.0570244,0.942976
312,18.5153,13.8486,0.151303,4.51534,0,1,0.0429357,0.957064
313,18.5526,13.886,0.113922,4.55272,0,1,0.0323279,0.967672
314,18.5808,13.9141,0.0857759,4.58086,0,1,0.0243409,0.975659
315,18.602,13.9353,0.0645839,4.60206,0,1,0.0183272,0.981673
316,18.6179,13.9513,0.0486276,4.61801,0,1,0.0137992,0.986201
317,18.6299,13.9633,0.0366135,4.63003,0,1,0.0103899,0.98961
318,18.639,13.9724,0.0275677,4.63907,0,1,0.00782298,0.992177
319,18.6458,13.9792,0.0207568,4.64588,0,1,0.00589021,0.99411
320,18.6509,13.9843,0.0156285,4.65101,0,1,0.00443496,0.995565
321,18.6548,13.9882,0.0117673,4.65487,0,1,0.00333925,0.996661
322,18.6577,13.9911,0.00886005,4.65778,0,1,0.00251424,0.997486
323,18.6599,13.9932,0.00667106,4.65997,0,1,0.00189307,0.998107
324,18.6615,13.9949,0.00502289,4.66162,0,1,0.00142536,0.998575
325,18.6628,13.9961,0.00378192,4.66286,0,1,0.00107321,0.998927
326,18.6637,13.9971,0.00284755,4.66379,0,1,0.000808059,0.999192
327,18.6644,13.9978,0.00214403,4.6645,0,1,0.000608418,0.999392
328,18.6649,13.9983,0.00161432,4.66503,0,1,0.0004581,0.999542
329,18.6653,13.9987,0.00121548,4.66542,0,1,0.000344921,0.999655
330,18.6656,13.999,0.000915181,4.66572,0,1,0.000259704,0.99974
331,18.6659,13.9992,0.000689074,4.66595,0,1,0.000195541,0.999804
332,18.666,13.9994,0.00051883,4.66612,0,1,0.00014723,0.999853
333,18.6662,13.9995,0.000390646,4.66625,0,1,0.000110855,0.999889
334,18.6663,13.9996,0.000294132,4.66635,0,1,8.34669e-5,0.999917
335,18.6663,13.9997,0.000221463,4.66642,0,1,6.28454e-5,0.999937
