"time","y_11.y","y_22.y","u_11.y","u_22.y","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y"
264,1,2.95996e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482629
265,1,2.72522e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482631
266,1,2.50383e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482634
267,1,2.2919e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482636
268,1,2.0926e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482639
269,1,1.90523e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482641
270,1,1.7204e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482642
271,1,1.54477e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482644
272,1,1.3804e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482645
273,1,1.22601e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482647
274,1,1.07766e-7,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482648
275,1,9.43763e-8,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482649
276,1,8.11904e-8,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.048265
277,1,6.99254e-8,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482651
278,1,5.88814e-8,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482651
279,1,4.84151e-8,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482652
280,1,3.82864e-8,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482652
281,1,2.93927e-8,0.156983,0.0534066,6.9575,16.5203,1.85125,-0.0482652
282,1,2.08319e-8,0.156983,0.0534066,6.95751,16.5203,1.85125,-0.0482653
283,1,1.27952e-8,0.156983,0.0534066,6.95751,16.5203,1.85125,-0.0482653
284,1,6.46388e-9,0.156983,0.0534066,6.95751,16.5203,1.85125,-0.0482653
285,1,7.84157e-10,0.156983,0.0534066,6.95751,16.5203,1.85125,-0.0482653
286,1,-3.28919e-9,0.156983,0.0534066,6.95751,16.5203,1.85125,-0.0482653
287,1,-7.37443e-9,0.156983,0.0534067,6.95751,16.5203,1.85125,-0.0482653
288,1,-1.1201e-8,0.156983,0.0534067,6.95751,16.5203,1.85125,-0.0482653
289,1,-1.48498e-8,0.156983,0.0534067,6.95751,16.5203,1.85125,-0.0482653
290,1,-1.86045e-8,0.156983,0.0534067,6.95751,16.5203,1.85125,-0.0482653
291,1,-2.23119e-8,0.156983,0.0534067,6.95751,16.5203,1.85125,-0.0482652
292,1,-2.52032e-8,0.156983,0.0534067,6.95751,16.5203,1.85125,-0.0482652
293,1,-2.71204e-8,0.156983,0.0534067,6.95751,16.5203,1.85125,-0.0482652
294,1,-2.80895e-8,0.156983,0.0534067,6.95751,16.5203,1.85125,-0.0482652
295,1,-2.86693e-8,0.156983,0.0534067,6.95751,16.5203,1.85125,-0.0482651
296,1,-2.97074e-8,0.156983,0.0534067,6.95751,16.5203,1.85125,-0.0482651
