"time","IAE_1.y","IAE_2.y","IE_1.y","IE_2.y","y_11.y","y_22.y","r_11.y","r_22.y"
241,65.0445,49.7433,65.0445,-49.7433,0.931715,0.148538,1,0
242,65.1127,49.8915,65.1127,-49.8915,0.932058,0.1478,1,0
243,65.1804,50.0389,65.1804,-50.0389,0.9324,0.147066,1,0
244,65.2479,50.1856,65.2479,-50.1856,0.932741,0.146336,1,0
245,65.315,50.3316,65.315,-50.3316,0.933079,0.145609,1,0
246,65.3817,50.4768,65.3817,-50.4768,0.933415,0.144886,1,0
247,65.4481,50.6213,65.4481,-50.6213,0.93375,0.144166,1,0
248,65.5142,50.7652,65.5142,-50.7652,0.934083,0.14345,1,0
249,65.58,50.9083,65.58,-50.9083,0.934414,0.142738,1,0
250,65.6454,51.0506,65.6454,-51.0506,0.934743,0.142028,1,0
251,65.7105,51.1923,65.7105,-51.1923,0.93507,0.141323,1,0
252,65.7752,51.3333,65.7752,-51.3333,0.935396,0.140621,1,0
253,65.8397,51.4736,65.8397,-51.4736,0.93572,0.139922,1,0
254,65.9038,51.6131,65.9038,-51.6131,0.936042,0.139226,1,0
255,65.9676,51.752,65.9676,-51.752,0.936363,0.138535,1,0
256,66.0311,51.8902,66.0311,-51.8902,0.936682,0.137846,1,0
257,66.0942,52.0277,66.0942,-52.0277,0.936999,0.137161,1,0
258,66.1571,52.1645,66.1571,-52.1645,0.937314,0.136479,1,0
259,66.2196,52.3007,66.2196,-52.3007,0.937628,0.135801,1,0
260,66.2818,52.4361,66.2818,-52.4361,0.93794,0.135126,1,0
261,66.3437,52.5709,66.3437,-52.5709,0.938251,0.134454,1,0
262,66.4053,52.705,66.4053,-52.705,0.93856,0.133786,1,0
263,66.4666,52.8385,66.4666,-52.8385,0.938867,0.133121,1,0
264,66.5276,52.9713,66.5276,-52.9713,0.939173,0.132459,1,0
265,66.5883,53.1034,66.5883,-53.1034,0.939477,0.131801,1,0
266,66.6486,53.2349,66.6486,-53.2349,0.93978,0.131145,1,0
267,66.7087,53.3657,66.7087,-53.3657,0.940081,0.130493,1,0
268,66.7685,53.4959,66.7685,-53.4959,0.94038,0.129844,1,0
269,66.8279,53.6254,66.8279,-53.6254,0.940678,0.129199,1,0
270,66.8871,53.7543,66.8871,-53.7543,0.940974,0.128556,1,0
271,66.946,53.8825,66.946,-53.8825,0.941269,0.127917,1,0
272,67.0046,54.0101,67.0046,-54.0101,0.941563,0.127281,1,0
273,67.0629,54.1371,67.0629,-54.1371,0.941854,0.126648,1,0
274,67.1209,54.2634,67.1209,-54.2634,0.942145,0.126018,1,0
275,67.1786,54.3891,67.1786,-54.3891,0.942434,0.125392,1,0
276,67.236,54.5142,67.236,-54.5142,0.942721,0.124768,1,0
277,67.2931,54.6386,67.2931,-54.6386,0.943007,0.124148,1,0
278,67.35,54.7625,67.35,-54.7625,0.943291,0.12353,1,0
279,67.4066,54.8857,67.4066,-54.8857,0.943574,0.122916,1,0
280,67.4628,55.0083,67.4628,-55.0083,0.943856,0.122305,1,0
281,67.5189,55.1303,67.5189,-55.1303,0.944136,0.121697,1,0
282,67.5746,55.2517,67.5746,-55.2517,0.944415,0.121091,1,0
283,67.63,55.3725,67.63,-55.3725,0.944692,0.120489,1,0
284,67.6852,55.4927,67.6852,-55.4927,0.944968,0.11989,1,0
285,67.7401,55.6123,67.7401,-55.6123,0.945242,0.119293,1,0
286,67.7947,55.7313,67.7947,-55.7313,0.945515,0.1187,1,0
287,67.8491,55.8497,67.8491,-55.8497,0.945787,0.11811,1,0
288,67.9031,55.9675,67.9031,-55.9675,0.946057,0.117522,1,0
289,67.9569,56.0847,67.9569,-56.0847,0.946326,0.116938,1,0
290,68.0105,56.2014,68.0105,-56.2014,0.946594,0.116356,1,0
291,68.0638,56.3174,68.0638,-56.3174,0.94686,0.115777,1,0
292,68.1168,56.4329,68.1168,-56.4329,0.947125,0.115201,1,0
293,68.1695,56.5478,68.1695,-56.5478,0.947388,0.114628,1,0
294,68.222,56.6622,68.222,-56.6622,0.94765,0.114058,1,0
295,68.2742,56.776,68.2742,-56.776,0.947911,0.113491,1,0
296,68.3262,56.8892,68.3262,-56.8892,0.948171,0.112926,1,0
297,68.3779,57.0018,68.3779,-57.0018,0.948429,0.112365,1,0
298,68.4293,57.1139,68.4293,-57.1139,0.948686,0.111806,1,0
299,68.4805,57.2254,68.4805,-57.2254,0.948942,0.11125,1,0
300,68.5314,57.3364,68.5314,-57.3364,0.949196,0.110696,1,0
301,68.5821,57.4468,68.5821,-57.4468,0.949449,0.110146,1,0
302,68.6325,57.5567,68.6325,-57.5567,0.949701,0.109598,1,0
303,68.6827,57.666,68.6827,-57.666,0.949951,0.109052,1,0
304,68.7326,57.7748,68.7326,-57.7748,0.950201,0.10851,1,0
305,68.7823,57.883,68.7823,-57.883,0.950449,0.10797,1,0
306,68.8317,57.9907,68.8317,-57.9907,0.950695,0.107433,1,0
307,68.8809,58.0979,68.8809,-58.0979,0.950941,0.106899,1,0
308,68.9299,58.2045,68.9299,-58.2045,0.951185,0.106367,1,0
309,68.9785,58.3106,68.9785,-58.3106,0.951428,0.105838,1,0
310,69.027,58.4162,69.027,-58.4162,0.95167,0.105311,1,0
311,69.0752,58.5213,69.0752,-58.5213,0.951911,0.104787,1,0
312,69.1232,58.6258,69.1232,-58.6258,0.95215,0.104266,1,0
313,69.1709,58.7298,69.1709,-58.7298,0.952389,0.103747,1,0
314,69.2184,58.8333,69.2184,-58.8333,0.952626,0.103231,1,0
315,69.2657,58.9363,69.2657,-58.9363,0.952862,0.102718,1,0
316,69.3127,59.0387,69.3127,-59.0387,0.953096,0.102207,1,0
317,69.3595,59.1407,69.3595,-59.1407,0.95333,0.101698,1,0
318,69.406,59.2421,69.406,-59.2421,0.953562,0.101192,1,0
319,69.4523,59.3431,69.4523,-59.3431,0.953793,0.100689,1,0
320,69.4984,59.4435,69.4984,-59.4435,0.954023,0.100188,1,0
321,69.5443,59.5434,69.5443,-59.5434,0.954252,0.0996893,1,0
322,69.5899,59.6429,69.5899,-59.6429,0.95448,0.0991934,1,0
323,69.6353,59.7418,69.6353,-59.7418,0.954707,0.0986999,1,0
324,69.6805,59.8403,69.6805,-59.8403,0.954932,0.0982088,1,0
325,69.7255,59.9383,69.7255,-59.9383,0.955156,0.0977203,1,0
